branch,domain,value_head,seed,stage1,stage2,change,stage1_log,stage2_log
validation,zenotravel,off,2011206605,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546179_Ev_zenotravel_zenotravel_orig_novh_c.1_s2011206605_CD4P_src20523088_e0010.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20724195_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s2011206605_K0_P4ZENOTRAVELS2P_ORIGSEL_src20553995_e0020.txt
validation,zenotravel,off,2082152039,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546345_Ev_zenotravel_zenotravel_orig_novh_c.1_s2082152039_CD4P_src20523093_e0007.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720652_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s2082152039_K0_P4ZENOTRAVELS2P_src20630376_e0000.txt
validation,zenotravel,on,534933607,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544808_Ev_zenotravel_zenotravel_orig_vh_c.1_s534933607_CD4P_src20523080_e0004.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720653_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P4ZENOTRAVELS2P_src20630378_e0085.txt
validation,zenotravel,on,923500475,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546164_Ev_zenotravel_zenotravel_orig_vh_c.1_s923500475_CD4P_src20523084_e0007.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720654_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s923500475_K0_P4ZENOTRAVELS2P_src20630379_e0037.txt
validation,zenotravel,on,1073581256,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553547_Ev_zenotravel_zenotravel_orig_vh_c.1_s1073581256_CD4P_src20523072_e0041.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720655_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s1073581256_K0_P4ZENOTRAVELS2P_src20630380_e0000.txt
validation,zenotravel,on,1239739722,20.0,19.0,-1.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546140_Ev_zenotravel_zenotravel_orig_vh_c.1_s1239739722_CD4P_src20523074_e0007.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720656_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s1239739722_K0_P4ZENOTRAVELS2P_src20630381_e0012.txt
validation,zenotravel,on,1472491096,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553560_Ev_zenotravel_zenotravel_orig_vh_c.1_s1472491096_CD4P_src20523077_e0060.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720657_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s1472491096_K0_P4ZENOTRAVELS2P_src20630382_e0000.txt
validation,zenotravel,on,1510771779,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546141_Ev_zenotravel_zenotravel_orig_vh_c.1_s1510771779_CD4P_src20523083_e0005.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720658_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s1510771779_K0_P4ZENOTRAVELS2P_src20630383_e0010.txt
validation,zenotravel,on,1963100312,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544588_Ev_zenotravel_zenotravel_orig_vh_c.1_s1963100312_CD4P_src20523066_e0004.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720688_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s1963100312_K0_P4ZENOTRAVELS2P_src20553956_e0065.txt
validation,zenotravel,on,1972442430,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546177_Ev_zenotravel_zenotravel_orig_vh_c.1_s1972442430_CD4P_src20523085_e0007.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720659_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s1972442430_K0_P4ZENOTRAVELS2P_src20630384_e0001.txt
validation,zenotravel,on,2011206605,20.0,20.0,0.0,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544767_Ev_zenotravel_zenotravel_orig_vh_c.1_s2011206605_CD4P_src20523069_e0009.txt,/home/hersco/training_new_domains/2026-08-30/preserve4_zenotravel_stage2_policy_eval/20720696_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s2011206605_K0_P4ZENOTRAVELS2P_src20553963_e0000.txt
