domain,value_head,stage,epoch,mean,min,max,n
drone,on,stage2,15,46.36363636363637,25.0,60.0,22
drone,on,stage2,20,44.09090909090909,20.0,55.0,22
drone,on,stage2,25,43.63636363636363,20.0,60.0,22
drone,on,stage2,30,42.04545454545455,25.0,55.0,22
drone,on,stage2,35,43.40909090909091,20.0,55.0,22
drone,on,stage2,40,42.04545454545455,20.0,55.0,22
drone,on,stage2,45,42.27272727272727,30.0,60.0,22
drone,on,stage2,50,42.04545454545455,30.0,55.0,22
drone,on,stage2,55,39.09090909090909,20.0,50.0,22
drone,on,stage2,60,39.54545454545455,20.0,55.0,22
drone,on,stage2,65,36.59090909090909,20.0,55.0,22
drone,on,stage2,70,37.95454545454545,25.0,55.0,22
drone,on,stage2,75,36.81818181818182,20.0,50.0,22
drone,on,stage2,80,37.27272727272727,20.0,55.0,22
drone,on,stage2,85,37.72727272727273,25.0,50.0,22
drone,on,stage2,90,36.59090909090909,20.0,55.0,22
drone,on,stage2,95,36.59090909090909,20.0,50.0,22
drone,on,stage2,99,34.77272727272727,20.0,50.0,22
fo_counters,off,stage1,5,10.0,5.0,15.0,10
fo_counters,off,stage1,8,15.0,15.0,15.0,1
fo_counters,off,stage1,10,16.5,10.0,25.0,10
fo_counters,off,stage1,14,20.0,20.0,20.0,1
fo_counters,off,stage1,15,18.0,15.0,30.0,10
fo_counters,off,stage1,16,20.0,20.0,20.0,1
fo_counters,off,stage1,20,17.5,5.0,25.0,10
fo_counters,off,stage1,22,15.0,15.0,15.0,1
fo_counters,off,stage1,25,17.5,10.0,20.0,10
fo_counters,off,stage1,28,20.0,20.0,20.0,1
fo_counters,off,stage1,30,19.0,15.0,25.0,10
fo_counters,off,stage1,31,30.0,30.0,30.0,1
fo_counters,off,stage1,35,19.5,5.0,30.0,10
fo_counters,off,stage1,40,19.5,15.0,25.0,10
fo_counters,off,stage1,45,21.0,15.0,25.0,10
fo_counters,off,stage1,46,20.0,20.0,20.0,1
fo_counters,off,stage1,50,21.5,10.0,30.0,10
fo_counters,off,stage1,55,18.0,15.0,25.0,10
fo_counters,off,stage1,57,20.0,20.0,20.0,1
fo_counters,off,stage1,60,20.0,15.0,25.0,9
fo_counters,off,stage1,65,20.625,15.0,30.0,8
fo_counters,off,stage1,66,25.0,25.0,25.0,1
fo_counters,off,stage1,69,25.0,25.0,25.0,1
fo_counters,off,stage1,70,19.285714285714285,10.0,30.0,7
fo_counters,off,stage1,75,18.333333333333332,5.0,30.0,6
fo_counters,off,stage1,80,23.0,20.0,30.0,5
fo_counters,off,stage1,85,18.75,15.0,30.0,4
