domain,stage,value_head,seed,checkpoint_identity,search_family,search_variant,instance,policy_status,search_status,outcome_stratum,policy_steps,search_steps,search_elapsed_seconds,policy_log,search_log,source_artifact,source_row
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_44.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,439
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_45.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,440
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_46.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,441
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_47.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,442
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_48.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,443
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_49.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,444
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_5.pddl,success,success,both_success,10,12,21.86,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,445
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_50.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,446
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_51.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,447
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_52.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,448
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_53.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,449
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_54.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,450
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_55.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,451
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_56.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,452
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_57.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,453
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_58.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,454
counters,stage1_validation_selected,off,1963100312,src20401258_e0101,fixed,narrow_5x20,fz_instance_59.pddl,unclassified,unclassified,both_fail_outcome_only,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428710_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20401258_e0101.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430109_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401258_e0101.txt,experiment_tracking/policy_mcts_instance_audit.csv,455
