task_id,candidate_index,instance,missing_stratum,outcome,outcome_evidence,first_divergence_observed,selector,selection_mechanism,selector_input_changed_from_raw_visits,duplicate_control_applied,step,policy_action,selected_action,policy_action_expanded,policy_entropy,visit_entropy,policy_visit_js_divergence,selected_action_policy_prior,selected_action_policy_rank,winner_visit_share,top1_top2_visit_margin,max_visit_tie_count,selected_is_signed_q_argmax,selected_is_u_argmax,selected_is_signed_q_plus_u_argmax,root_visits,policy_action_visits,selected_action_visits,raw_visit_argmax_action,selected_is_raw_visit_argmax,policy_action_prior,policy_action_q,selected_action_q,selected_minus_policy_q,policy_action_u,selected_action_u,selected_minus_policy_u,policy_action_q_plus_u,selected_action_q_plus_u,selected_minus_policy_q_plus_u,policy_status,current_outcome_stratum,source_result
root-trace-fo_counters-on-fixed,2,instance_7.pddl,policy_failure_search_success,success,completion_jsonl,True,root_visit_argmax,raw_root_visit_argmax,False,False,8,21,22,True,1.6342834760124079,0.08153773003096035,0.26205663888624087,0.37137396269322864,1,0.8872901678657075,323,1,True,False,True,418,47,370,22,True,0.3713739812374115,0.2995220603520321,0.31586423887135606,0.016342178519323958,0.015818247883039694,0.0020465657638434106,-0.013771682119196283,0.3153403082350718,0.3179108046351995,0.0025704964001276864,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-fo_counters-on-fixed/02_src20401221_e0092_s1239739722_instance_7.result.json
root-trace-fo_counters-on-pw,0,instance_10.pddl,both_fail_outcome_only,action_limit,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,55,11,30,True,3.2165841178300254,2.3744313729452524,0.18979325298511887,0.04682510008532628,10,0.10926365795724466,3,1,True,False,False,431,43,46,30,True,0.05558852478861809,0.25694467745391847,0.2576302618793983,0.0006855844254798349,0.002622835827676388,0.002068328366588729,-0.000554507461087659,0.25956751328159483,0.259698590245987,0.00013107696439218497,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-on-pw/00_src20401220_e0106_s1073581256_instance_10.result.json
root-trace-fo_counters-on-pw,1,instance_2.pddl,both_success,success,completion_record,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-on-pw/01_src20401220_e0106_s1073581256_instance_2.result.json
root-trace-fo_counters-on-pw,2,instance_6.pddl,policy_failure_search_success,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,8,14,17,True,2.022324331722082,1.405620559882875,0.11229452402330896,0.18170045010655328,1,0.29213483146067415,11,1,True,False,False,179,41,52,17,True,0.1817004382610321,0.26647406666131834,0.2737126045879246,0.007238537926606281,0.00578806233869563,0.004586766381607857,-0.0012012959570877725,0.27226212900001395,0.2782993709695325,0.0060372419695185475,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-fo_counters-on-pw/02_src20401220_e0106_s1073581256_instance_6.result.json
root-trace-rover-off-fixed,0,pfile10.pddl,both_fail_outcome_only,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,14,108,238,True,1.326499500242901,0.09019463529103026,0.2807215776902216,0.33468900716612415,2,0.880722891566265,632,1,True,False,True,831,99,731,238,True,0.5068449974060059,0.3229446238857148,0.34197614784320957,0.019031523957494745,0.014610856528953243,0.001318046883210243,-0.013292809645743,0.33755548041466804,0.3432941947264198,0.005738714311751769,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-rover-off-fixed/00_src20401250_e0040_s1073581256_pfile10.result.json
root-trace-rover-off-fixed,1,pfile1.pddl,both_success,success,completion_record,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-rover-off-fixed/01_src20401250_e0040_s1073581256_pfile1.result.json
root-trace-rover-off-fixed,2,pfile5.pddl,policy_failure_search_success,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,5,71,76,True,1.4988450651565293,1.2866597693357507,0.027729981015121696,0.2506338658282849,2,0.3134715025906736,6,1,False,False,False,387,115,121,76,True,0.35942965745925903,0.2523768428386341,0.2557038439276502,0.003327001089016124,0.0060955290067241825,0.004041433194458583,-0.0020540958122656,0.25847237184535826,0.2597452771221088,0.0012729052767505578,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-rover-off-fixed/02_src20401250_e0040_s1073581256_pfile5.result.json
root-trace-rover-on-fixed,0,pfile10.pddl,both_fail_outcome_only,hard_timeout,eval_instance_timeout_log_marker,True,root_visit_argmax,raw_root_visit_argmax,False,False,4,208,117,True,1.3859809741929279,0.17095870046030814,0.24416228279902497,0.3455018427572854,2,0.8287461773700305,215,1,True,False,True,328,56,271,117,True,0.48500680923461914,0.25415146004940786,0.414022814240562,0.1598713541911541,0.015410257727153051,0.002300479579538838,-0.013109778147614213,0.2695617177765609,0.4163232938201008,0.1467615760435399,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-rover-on-fixed/00_src20401240_e0143_s1073581256_pfile10.result.json
root-trace-rover-on-fixed,1,pfile1.pddl,both_success,success,completion_jsonl,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-rover-on-fixed/01_src20401240_e0143_s1073581256_pfile1.result.json
root-trace-rover-on-fixed,2,pfile12.pddl,policy_failure_search_success,success,completion_jsonl,True,root_visit_argmax,raw_root_visit_argmax,False,False,24,239,218,True,1.8202905279852162,0.35229401341241123,0.251549534528967,0.2708329241274167,2,0.7239263803680982,536,1,True,False,True,1142,290,826,218,True,0.33187317848205566,0.31130200064433067,0.3664945924478045,0.055192591803473856,0.003854004502881709,0.001106697691941102,-0.002747306810940607,0.31515600514721237,0.36760129013974563,0.05244528499253326,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-rover-on-fixed/02_src20401240_e0143_s1073581256_pfile12.result.json
