arm,value_head,seed,job_id,instance_number,instance,runtime_seconds,steps,source_log
fixed_top20,on,534933607,20451720,6,problem_2_8_3.pddl,2576.44,551,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,13,problem_6_8_1.pddl,642.34,170,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,15,problem_8_1_2.pddl,103.47,52,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,16,problem_8_1_4.pddl,415.21,150,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,17,problem_8_1_5.pddl,520.70,160,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,534933607,20451720,18,problem_8_7_1.pddl,1431.87,242,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,1073581256,20431945,1,problem_1_1_2.pddl,44.93,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,2,problem_1_1_4.pddl,45.71,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,3,problem_1_8_1.pddl,49.23,35,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,4,problem_1_9_3.pddl,259.58,175,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,5,problem_2_5_4.pddl,338.23,146,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,7,problem_2_9_1.pddl,80.34,58,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,8,problem_3_3_4.pddl,279.69,131,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,9,problem_4_2_5.pddl,376.80,174,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,11,problem_5_2_2.pddl,145.07,65,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,6,problem_2_8_3.pddl,881.16,258,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,12,problem_5_10_1.pddl,1075.22,191,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,13,problem_6_8_1.pddl,1153.01,239,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,15,problem_8_1_2.pddl,114.22,48,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,16,problem_8_1_4.pddl,302.14,97,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,17,problem_8_1_5.pddl,456.25,136,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1073581256,20431945,18,problem_8_7_1.pddl,6126.78,651,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1239739722,20430052,2,problem_1_1_4.pddl,35.03,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
fixed_top20,on,1239739722,20430052,1,problem_1_1_2.pddl,36.50,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
fixed_top20,on,1239739722,20430052,3,problem_1_8_1.pddl,39.84,23,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
fixed_top20,on,1239739722,20430052,7,problem_2_9_1.pddl,79.90,81,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
fixed_top20,on,1239739722,20430052,11,problem_5_2_2.pddl,132.01,82,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
