evaluation_job_id,source_training_job_id,domain,value_head,seed,epoch,successes,total,source_evaluation_log
20424570,20401182,block_grouping,on,534933607,55,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424570_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0055.txt
20424571,20401182,block_grouping,on,534933607,60,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424571_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0060.txt
20424572,20401182,block_grouping,on,534933607,65,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424572_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0065.txt
20424573,20401182,block_grouping,on,534933607,19,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424573_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0019.txt
20424574,20401183,block_grouping,on,2082152039,5,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424574_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0005.txt
20424575,20401183,block_grouping,on,2082152039,10,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424575_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0010.txt
20424576,20401183,block_grouping,on,2082152039,15,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424576_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0015.txt
20424577,20401183,block_grouping,on,2082152039,20,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424577_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0020.txt
20424578,20401183,block_grouping,on,2082152039,25,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424578_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0025.txt
20424579,20401183,block_grouping,on,2082152039,30,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424579_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0030.txt
20424580,20401183,block_grouping,on,2082152039,35,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424580_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0035.txt
20424581,20401183,block_grouping,on,2082152039,40,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424581_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0040.txt
20424582,20401183,block_grouping,on,2082152039,45,13.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424582_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0045.txt
20424583,20401183,block_grouping,on,2082152039,50,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424583_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0050.txt
20424584,20401183,block_grouping,on,2082152039,55,12.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424584_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0055.txt
20424585,20401183,block_grouping,on,2082152039,60,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424585_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0060.txt
20424586,20401183,block_grouping,on,2082152039,11,15.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424586_Ev_block_grouping_block_grouping_orig_vh_c.1_s2082152039_SR10P_src20401183_e0011.txt
20424587,20401184,block_grouping,on,1510771779,5,11.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424587_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0005.txt
20424588,20401184,block_grouping,on,1510771779,10,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424588_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0010.txt
20424589,20401184,block_grouping,on,1510771779,15,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424589_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0015.txt
20424590,20401184,block_grouping,on,1510771779,20,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424590_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0020.txt
20424591,20401184,block_grouping,on,1510771779,25,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424591_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0025.txt
20424592,20401184,block_grouping,on,1510771779,30,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424592_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0030.txt
20424593,20401184,block_grouping,on,1510771779,35,17.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424593_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0035.txt
20424680,20401184,block_grouping,on,1510771779,40,16.0,20.0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424680_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0040.txt
