lineage_index,domain,seed,total,starting_policy,legacy_epoch0,deterministic_epoch0,det_minus_legacy,reuse_status,source_checkpoint,source_checkpoint_sha256,source_policy_job_id
20,fo_counters,534933607,20,4,3,3,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.946490/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_57_1.000",85cafdce97d0244db804a9c4b5999a0ac80d6262aea352180e75a511f31329ec,20426934
21,fo_counters,923500475,20,4,1,2,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947205/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_14_1.000",7a75818c108961a2afea9960d3b3eceaf359210133a87b8557c28c7ffd8b42b9,20427164
22,fo_counters,1073581256,20,3,2,4,2,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750965/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_22_1.000",00178f9f1feeeaa013e5899e84ed1b3b5af5b9d1229780deeb09b49a10720c88,20426859
23,fo_counters,1239739722,20,6,2,2,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750807/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_31_1.000",0a6ca288d984c7a7468d538550806064eb1be1805bf992d4e1626ae081908e0b,20426898
24,fo_counters,1472491096,20,4,3,3,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.948649/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-43e0a7a/snapshots/snapshot_16_1.000",442e4a4e7e1635f544e9c47cca7b4cd6d7d32d1c25d626a58d418c6e64be07d1,20426912
25,fo_counters,1510771779,20,5,2,3,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947874/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_66_1.000",b23cf8f2279a5dd03176c1f2f2a5d4b2b705c7311f157b90f0665e05af13c074,20427151
26,fo_counters,1963100312,20,3,1,2,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750809/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_8_1.000",ac48de9f85b64bc502add88dfcacb19389cb3eb41b0023aa4b7a7edff36f04e0,20426778
27,fo_counters,1972442430,20,4,2,2,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.927253/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-72aea46/snapshots/snapshot_28_1.000",7176c088aa4155f091ddc0764029bac4cb7b6f3111ce7d28207a75ca6643b32b,20427180
28,fo_counters,2011206605,20,4,2,2,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750806/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_46_1.000",481f041a8e9c3578967b1a7de84a73649666be5e7571854dffe2b59b4ab8af97,20426824
29,fo_counters,2082152039,20,5,3,4,1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.948024/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-faf7d6/snapshots/snapshot_69_1.000",1d7db60a338c7962564e706a2aab541393561ddb9f6721897a82b5c0126d03b2,20427127
30,rover,534933607,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.790626/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_124_0.625",7bdc851c9d8c9a7f286ede15f654120ddcf5d75ca5c37c10ff9ab2e994437c41,20428485
31,rover,923500475,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633313/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_20_0.125",aa0bce80a2943d1a60d7a4f9f6c90e9ffded817b7c496d71e61f0d3480dcf8d4,20428665
32,rover,1073581256,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487394/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_40_0.625",10a064d7611030ac11ebb276750e1f449f9e08a26e87a5f1652f1a97aed4289f,20428109
33,rover,1239739722,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.790681/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_53_0.625",8a5ad5c5cbe219869d9b512db77db7fc9ae374f2bcf02b00159a40b26667fcef,20428373
34,rover,1472491096,20,4,5,4,-1,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487389/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_64_0.750",bc07264ed1ab558fefb32e45cf04d87f613e20f55f41fbfda009f7fd6f6848ff,20428427
35,rover,1510771779,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-17cc32a/snapshots/snapshot_48_0.750",96d897b2d1b21af9f3337ed4857fea33b490e1ed9a0f95337835126a1a64d592,20428661
36,rover,1963100312,20,4,4,4,0,new_capture_and_pair,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854128/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_25_0.375",613e1b53eb634deb09634fc0c5dce16f54fb55ddb5ddcea75189a9d3d1f8ba12,20428037
