experiment,job_id,job_name,state,exit_code,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,explicit_instance_timeouts,latest_final_success,latest_final_total,val_valid,val_invalid,source_evaluation_log,source_completion_ledgers
PW70 ten-seed FO/Rover expansion,21039214,pw70-ten-rover-off-1972442430-s1,COMPLETED,0:0,18:28:27,2026-09-06T12:26:59,2026-09-07T06:55:26,ise-cpu256-31,6,120G,20,4,4,4,4,8,4.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039214_pw70-ten-rover-off-1972442430-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039214.jsonl
PW70 ten-seed FO/Rover expansion,21039215,pw70-ten-rover-off-2082152039-s1,COMPLETED,0:0,1-06:04:09,2026-09-06T12:28:01,2026-09-07T18:32:10,ise-cpu256-31,6,120G,20,4,4,4,4,13,4.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039215_pw70-ten-rover-off-2082152039-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039215.jsonl
PW70 ten-seed FO/Rover expansion,21039216,pw70-ten-rover-on-1239739722-s1,COMPLETED,0:0,1-00:10:20,2026-09-06T12:28:59,2026-09-07T12:39:19,ise-cpu256-15,6,120G,20,4,4,4,4,12,4.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039216_pw70-ten-rover-on-1239739722-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039216.jsonl
PW70 ten-seed FO/Rover expansion,21039217,pw70-ten-rover-on-1472491096-s1,COMPLETED,0:0,1-00:04:43,2026-09-06T12:28:59,2026-09-07T12:33:42,ise-cpu256-13,6,120G,20,5,5,5,5,10,5.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039217_pw70-ten-rover-on-1472491096-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039217.jsonl
PW70 ten-seed FO/Rover expansion,21039218,pw70-ten-rover-on-1510771779-s1,COMPLETED,0:0,13:53:17,2026-09-06T12:29:03,2026-09-07T02:22:20,ise-cpu256-01,6,120G,20,4,5,5,5,6,5.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039218_pw70-ten-rover-on-1510771779-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039218.jsonl
PW70 ten-seed FO/Rover expansion,21039219,pw70-ten-rover-on-1972442430-s1,COMPLETED,0:0,12:11:20,2026-09-06T12:29:28,2026-09-07T00:40:48,ise-cpu256-25,6,120G,20,4,4,4,4,5,4.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039219_pw70-ten-rover-on-1972442430-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039219.jsonl
PW70 ten-seed FO/Rover expansion,21039220,pw70-ten-rover-on-2082152039-s1,COMPLETED,0:0,1-06:05:28,2026-09-06T12:29:58,2026-09-07T18:35:26,ise-cpu256-16,6,120G,20,4,4,4,4,15,4.0,20.0,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039220_pw70-ten-rover-on-2082152039-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/21039220.jsonl
TPP catastrophic-seed MCTS diagnostic,21084617,tppbad-fixed-narrow,OUT_OF_MEMORY,0:125,14:02:40,2026-09-07T16:06:01,2026-09-08T06:08:41,ise-cpu256-17,6,120G,18,4,4,4,4,3,4.0,20.0,4,0,slurm-21084617.out,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/completion/21084617.jsonl
TPP catastrophic-seed MCTS diagnostic,21084618,tppbad-pw20,OUT_OF_MEMORY,0:125,18:34:41,2026-09-07T16:06:01,2026-09-08T10:40:42,ise-cpu256-18,6,120G,19,5,10,10,10,4,10.0,20.0,10,0,slurm-21084618.out,/home/hersco/training_new_domains/2026-09-07/tpp_catastrophic_seed_mcts/completion/21084618.jsonl
Counters PW divergence recovery,20863187,pw-counters-divergence-off-923500475-sim70,TIMEOUT,0:0,3-00:00:23,2026-09-03T09:15:28,2026-09-06T09:15:51,ise-cpu256-19,6,120G,52,18,20,21,21,31,,,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-counters-divergence-off-923500475-sim70_20863187.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863187.jsonl
Counters PW divergence recovery,20863189,pw-counters-divergence-off-2082152039-sim70,TIMEOUT,0:0,3-00:00:06,2026-09-03T15:50:56,2026-09-06T15:51:02,ise-cpu128-09,6,120G,52,19,19,19,19,33,,,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-counters-divergence-off-2082152039-sim70_20863189.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20863189.jsonl
Rover interrupted-instance MCTS recovery,21107687_0,ROVER_INTERRUPTION_RECOVERY,FAILED,1:0,06:01:56,2026-09-08T00:28:32,2026-09-08T06:30:28,ise-cpu256-22,4,160G,1,0,0,0,0,1,,,,,/home/hersco/training_new_domains/2026-09-08/rover_interrupted_mcts_recovery/21107687_0.sbatch.out,
