csv_path,rows,classification,result_like,provenance_fields,provenance_status,parse_state,sha256
experiment_tracking/stage1_mcts_results.csv,100,historical_or_supporting,1,mcts_job_id;unprocessed_after_job_end;source_evaluation_log;completion_manifest_local;posthoc_val_audit_job,inline_or_pointer_present,ok,31ad288917d8d2a30a7ccd7e0d99e33f72c63ea12b9c89764190841937d6050b
experiment_tracking/stage1_policy_mcts_all_cutoff_statistics_latest.csv,10,current_canonical,1,row_level_provenance,inline_or_pointer_present,ok,bba45d4ca16bdd9a1b9ba9ceed8bd0fd3f856fe58ddf7a07f16d232d05396360
experiment_tracking/stage1_policy_mcts_cutoff_summary.csv,10,historical_or_supporting,1,source,inline_or_pointer_present,ok,12bd45fd89004605a703a5196e6623b3e039c091ad592cd1d4e5d5c6323f1ee1
experiment_tracking/stage1_policy_mcts_preferred_search_summary_20260902.csv,10,historical_or_supporting,1,,legacy_gap_not_primary,ok,faa0a6ae151403619567c9bf8322d3b13903ff097b049136bed0fa453e01c4ec
experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,100,current_canonical,1,mcts_job_id;source_policy_log;source_mcts_log;source_completion_ledger,inline_or_pointer_present,ok,0685f3849bea3f0c2fcf9e7b313f9d8352509b6bbb12d97c617fb211e25e9cc6
experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,133,historical_or_supporting,1,stage1_training_job_id;stage2_training_job_id;epoch0_evaluation_job_id;source_stage1_training_log;source_stage1_evaluation_log;source_stage2_training_log;source_epoch0_evaluation_log,inline_or_pointer_present,ok,a035448da732d2538d5e03b496a80df32463cd7b3c95533e557cb0029ad58181
experiment_tracking/stage2_epoch0_summary_20260902.csv,17,historical_or_supporting,1,source_seed_ledger,inline_or_pointer_present,ok,abcd61001fe5a533047447f68cecd75983834306ef73dc91615c7163a33c98a0
experiment_tracking/stage2_mcts_branch_completion_approved_20260903.csv,18,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,ce96415bdfc4d8381c48d78674c78094d135ddf8c9319b0bffa7b2855d4d6828
experiment_tracking/stage2_mcts_branch_completion_current_results_20260904.csv,62,historical_or_supporting,1,job_id;job_name;source_training_job_id;source_evaluation_log;source_training_log,inline_or_pointer_present,ok,45437b25214c4739d50f1a6657afa39f1e34ce2af270b54ea0d31622a52f2057
experiment_tracking/stage2_mcts_branch_completion_fo_node_retry2_20260904.csv,3,historical_or_supporting,0,manifest_id;source_checkpoint_ref;checkpoint_selection;source_training_job_id,inline_or_pointer_present,ok,7dd053e2218067deeb0e9c33ec8baa0d34ee2fa87413004d261fce05ead5c003
