experiment_id,comparison,domain,value_head,seed,policy_score,mcts_score,difference,mcts_state,width,iterations,puct,estimator,instance_timeouts,unprocessed_after_job_end,policy_log,mcts_log,validation_status
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,1239739722,8.0,14.0,6.0,TIMEOUT,20,70,0.1,0.5,30,15,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429535_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20401271_e0080.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430139_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401271_e0080.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,1472491096,20.0,22.0,2.0,TIMEOUT,20,70,0.1,0.5,30,7,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429559_Ev_counters_counters_orig_vh_c.1_s1472491096_SR10P_src20401272_e0018.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430141_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401272_e0018.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,534933607,59.0,30.0,-29.0,COMPLETED,20,70,0.1,0.5,29,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429771_Ev_counters_counters_orig_vh_c.1_s534933607_SR10P_src20401273_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430143_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401273_e0011.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,2082152039,9.0,12.0,3.0,TIMEOUT,20,70,0.1,0.5,33,14,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429840_Ev_counters_counters_orig_vh_c.1_s2082152039_SR10P_src20401274_e0097.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430147_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401274_e0097.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,1510771779,3.0,14.0,11.0,TIMEOUT,20,70,0.1,0.5,28,17,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429872_Ev_counters_counters_orig_vh_c.1_s1510771779_SR10P_src20401275_e0041.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430149_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401275_e0041.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,923500475,3.0,14.0,11.0,TIMEOUT,20,70,0.1,0.5,27,18,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429883_Ev_counters_counters_orig_vh_c.1_s923500475_SR10P_src20401276_e0002.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430151_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401276_e0002.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,counters,on,1972442430,15.0,16.0,1.0,TIMEOUT,20,70,0.1,0.5,33,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429894_Ev_counters_counters_orig_vh_c.1_s1972442430_SR10P_src20401277_e0001.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430154_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401277_e0001.txt,posthoc_VAL_valid
MAIN-VAL,S1 policy -> S1 MCTS,drone,off,1963100312,11.0,10.0,-1.0,COMPLETED,20,70,0.1,0.5,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450747_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20401207_e0157.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451722_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401207_e0157.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,drone,off,2011206605,5.0,7.0,2.0,COMPLETED,20,70,0.1,0.5,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425786_Ev_drone_drone_orig_novh_c.1_s2011206605_SR10P_src20401208_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430057_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401208_e0040.txt,inline_VAL_agreement
MAIN-VAL,S1 policy -> S1 MCTS,drone,off,1073581256,5.0,6.0,1.0,COMPLETED,20,70,0.1,0.5,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt,inline_VAL_agreement
