snapshot_time,experiment_id,job_id,state,reason,elapsed,time_limit,cpus,memory,array_tasks,job_name
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755747,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1510771779_K0_P3TERMS2A3_src20523056
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755746,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1472491096_K0_P3TERMS2A3_src20523047
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755745,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A3_src20523044
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755744,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s1073581256_K0_P3TERMS2A3_src20523041
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755743,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s923500475_K0_P3TERMS2A3_src20523059
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755741,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_tpp_tpp_mcts_orig_novh_e.5_c.1_s534933607_K0_P3TERMS2A3_src20523050
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755740,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s2082152039_K0_P3TERMS2A30_src20522919
2026-08-31T13:03:22+03:00,PRESERVE-3-TERM,20755739,PENDING,QOSMaxMemoryPerUser,0:00,3-00:00:00,6,48G,1,Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s2011206605_K0_P3TERMS2A30_src20522914
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763731,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0099
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763730,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0095
2026-08-31T13:03:22+03:00,PRESERVE-TPP-S2-POLICY,20763729,PENDING,QOSMaxMemoryPerUser,0:00,4:00:00,10,20G,1,Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20684884_e0090
