job_id,experiment_id,stage,value_head,seed,arm,source_log,source_ledgers
20620635,,,off,2011206605,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620635_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_pw-drone-off-2011206605-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620636,,,off,2011206605,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620636_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_pw-drone-off-2011206605-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20620638,,,off,1073581256,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620638_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_pw-drone-off-1073581256-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620639,,,off,1073581256,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620639_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_pw-drone-off-1073581256-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20620640,,,off,1239739722,fixed_top5,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620640_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_pw-drone-off-1239739722-fixed_top5.txt,mcts_progressive_widening_pilot/results.csv
20620641,,,off,1239739722,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620641_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_pw-drone-off-1239739722-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620642,,,off,1239739722,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620642_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_pw-drone-off-1239739722-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20620644,,,off,1472491096,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620644_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_pw-drone-off-1472491096-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620645,,,off,1472491096,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620645_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_pw-drone-off-1472491096-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
20620646,,,on,1963100312,fixed_top5,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620646_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_pw-drone-on-1963100312-fixed_top5.txt,mcts_progressive_widening_pilot/results.csv
20620647,,,on,1963100312,progressive_c0p6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620647_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_pw-drone-on-1963100312-progressive_c0p6.txt,mcts_progressive_widening_pilot/results.csv
20620648,,,on,1963100312,progressive_c1p0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620648_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_pw-drone-on-1963100312-progressive_c1p0.txt,mcts_progressive_widening_pilot/results.csv
