experiment_id,stage2_branch,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,classified_instances,evidence_status,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-TERM,terminal_led,counters,on,534933607,narrow5/20,59.0,39,55,59,59,complete_declared_budget,20974545,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541397_Ev_counters_counters_orig_vh_c.1_s534933607_SR10TCP_src20489415_e0006.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974545_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20489415_e0006.txt,
MAIN-TERM,terminal_led,counters,on,923500475,narrow5/20,8.0,6,6,6,45,complete_declared_budget,20974546,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523947_Ev_counters_counters_orig_vh_c.1_s923500475_SR10TCP_src20489416_e0030.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974546_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20489416_e0030.txt,
MAIN-TERM,terminal_led,counters,on,1073581256,narrow5/20,4.0,7,7,7,59,complete_declared_budget,20974359,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20524060_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10TCP_src20489417_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974359_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20489417_e0070.txt,
MAIN-TERM,terminal_led,counters,on,1239739722,narrow5/20,11.0,18,19,19,59,complete_declared_budget,20974360,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541419_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10TCP_src20489418_e0062.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974360_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20489418_e0062.txt,
MAIN-TERM,terminal_led,counters,on,1472491096,narrow5/20,3.0,8,8,8,58,complete_declared_budget,20974361,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541542_Ev_counters_counters_orig_vh_c.1_s1472491096_SR10TCP_src20489419_e0070.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974361_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20489419_e0070.txt,
MAIN-TERM,terminal_led,counters,on,1510771779,narrow5/20,24.0,31,31,31,59,complete_declared_budget,20974362,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541572_Ev_counters_counters_orig_vh_c.1_s1510771779_SR10TCP_src20489420_e0001.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974362_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20489420_e0001.txt,
MAIN-TERM,terminal_led,counters,on,1963100312,narrow5/20,5.0,19,22,22,24,complete_declared_budget,20974363,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541573_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10TCP_src20489421_e0000.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974363_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20489421_e0000.txt,
MAIN-TERM,terminal_led,counters,on,1972442430,narrow5/20,31.0,34,35,35,59,complete_declared_budget,20974364,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541615_Ev_counters_counters_orig_vh_c.1_s1972442430_SR10TCP_src20489422_e0028.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974364_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028.txt,
MAIN-TERM,terminal_led,counters,on,2011206605,narrow5/20,8.0,17,17,17,59,complete_declared_budget,20974365,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541740_Ev_counters_counters_orig_vh_c.1_s2011206605_SR10TCP_src20489424_e0029.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974365_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20489424_e0029.txt,
MAIN-TERM,terminal_led,counters,on,2082152039,narrow5/20,15.0,20,20,20,59,complete_declared_budget,20974366,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541763_Ev_counters_counters_orig_vh_c.1_s2082152039_SR10TCP_src20489425_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974366_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002.txt,
MAIN-TERM,terminal_led,drone,off,534933607,normal20/70,9.0,10,10,10,18,complete_declared_budget,20559540,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541785_Ev_drone_drone_orig_novh_c.1_s534933607_SR10TCP_src20489426_e0038.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559540_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489426_e0038.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559540.eval_completed.jsonl
MAIN-TERM,terminal_led,drone,off,923500475,normal20/70,5.0,8,9,9,16,complete_declared_budget,20559541,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541807_Ev_drone_drone_orig_novh_c.1_s923500475_SR10TCP_src20489427_e0064.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559541_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489427_e0064.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559541.eval_completed.jsonl
MAIN-TERM,terminal_led,drone,off,1073581256,normal20/70,13.0,11,11,11,16,complete_declared_budget,20559542,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541829_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10TCP_src20489428_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559542_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489428_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559542.eval_completed.jsonl
MAIN-TERM,terminal_led,drone,off,1239739722,normal20/70,4.0,9,9,9,16,complete_declared_budget,20559543,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541869_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10TCP_src20489429_e0034.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559543_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489429_e0034.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559543.eval_completed.jsonl
MAIN-TERM,terminal_led,drone,off,1472491096,normal20/70,11.0,12,12,12,16,complete_declared_budget,20559544,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541891_Ev_drone_drone_orig_novh_c.1_s1472491096_SR10TCP_src20489430_e0012.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559544_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489430_e0012.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559544.eval_completed.jsonl
MAIN-TERM,terminal_led,drone,off,1510771779,normal20/70,6.0,10,10,10,16,complete_declared_budget,20559546,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541913_Ev_drone_drone_orig_novh_c.1_s1510771779_SR10TCP_src20489431_e0086.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559546_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489431_e0086.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559546.eval_completed.jsonl
