experiment_id,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-VAL,drone,on,1073581256,width20_sim70,7.0,15,16,16,20431945,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20431945.eval_completed.jsonl
MAIN-VAL,drone,on,1239739722,width20_sim70,3.0,6,6,6,20430052,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425441_Ev_drone_drone_orig_vh_c.1_s1239739722_SR10P_src20401200_e0023.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430052.eval_completed.jsonl
MAIN-VAL,drone,on,1472491096,width20_sim70,4.0,11,11,11,20430053,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425477_Ev_drone_drone_orig_vh_c.1_s1472491096_SR10P_src20401201_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430053.eval_completed.jsonl
MAIN-VAL,drone,on,534933607,width20_sim70,11.0,15,16,16,20451720,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450651_Ev_drone_drone_orig_vh_c.1_s534933607_SR10P_src20401202_e0161.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451720.eval_completed.jsonl
MAIN-VAL,drone,on,2082152039,width20_sim70,5.0,11,11,11,20430054,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425515_Ev_drone_drone_orig_vh_c.1_s2082152039_SR10P_src20401203_e0026.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430054_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401203_e0026.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430054.eval_completed.jsonl
MAIN-VAL,drone,on,1510771779,width20_sim70,5.0,10,10,10,20430055,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425545_Ev_drone_drone_orig_vh_c.1_s1510771779_SR10P_src20401204_e0014.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430055_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401204_e0014.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430055.eval_completed.jsonl
MAIN-VAL,drone,on,923500475,width20_sim70,4.0,11,11,11,20451721,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450683_Ev_drone_drone_orig_vh_c.1_s923500475_SR10P_src20401205_e0103.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451721_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401205_e0103.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451721.eval_completed.jsonl
MAIN-VAL,drone,on,1972442430,width20_sim70,4.0,11,12,12,20430056,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425563_Ev_drone_drone_orig_vh_c.1_s1972442430_SR10P_src20401206_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430056_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401206_e0021.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430056.eval_completed.jsonl
MAIN-VAL,fo_counters,off,1963100312,width20_sim70,3.0,9,9,9,20430072,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426778_Ev_fo_counters_fo_counters_orig_novh_c.1_s1963100312_SR10P_src20401228_e0008.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430072_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430072.eval_completed.jsonl
MAIN-VAL,fo_counters,off,2011206605,width20_sim70,4.0,9,10,10,20430073,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426824_Ev_fo_counters_fo_counters_orig_novh_c.1_s2011206605_SR10P_src20401229_e0046.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430073_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401229_e0046.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430073.eval_completed.jsonl
