job_id,job_name,state,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,ordinary_unsolved,logged_timeouts,latest_eval_final_success,latest_eval_final_total,val_valid,val_invalid,log_path,completion_record_path
20974364,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu-intl-03,6,120G,30,30,30,30,30,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974364_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20489422_e0028.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974364.eval_completed.jsonl
20974365,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20489424_e0029,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,cs-cpu-11,6,120G,16,16,16,16,16,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974365_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20489424_e0029.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974365.eval_completed.jsonl
20974366,Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002,RUNNING,00:18:27,2026-09-05T12:57:49,Unknown,ise-cpu128-08,6,120G,19,19,19,19,19,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974366_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489425_e0002.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974366.eval_completed.jsonl
20974346,Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036,RUNNING,00:18:42,2026-09-05T12:57:34,Unknown,cs-cpu-05,6,120G,8,8,8,8,8,0,0,,,,,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/20974346_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20489405_e0036.txt,/home/hersco/training_new_domains/2026-09-05/statistical_replication_stage2_mcts_eval/.resume_state/20974346.eval_completed.jsonl
20945822,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430411_e0001,RUNNING,1-00:42:00,2026-09-04T12:34:16,Unknown,ise-cpu256-32,6,120G,7,5,5,5,5,2,10,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945822_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430411_e0001.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945822.eval_completed.jsonl
20945821,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430410_e0000,RUNNING,1-01:20:43,2026-09-04T11:55:33,Unknown,ise-cpu256-17,6,120G,5,4,4,4,4,1,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945821_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430410_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945821.eval_completed.jsonl
20945820,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430412_e0000,RUNNING,1-01:21:46,2026-09-04T11:54:30,Unknown,ise-cpu256-18,6,120G,5,4,4,4,4,1,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945820_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430412_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945820.eval_completed.jsonl
20944972,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20430400_e0000,RUNNING,1-01:32:32,2026-09-04T11:43:44,Unknown,ise-cpu256-17,6,120G,7,4,4,4,4,3,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944972_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20430400_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944972.eval_completed.jsonl
20944971,Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430399_e0000,RUNNING,1-01:33:03,2026-09-04T11:43:13,Unknown,ise-cpu128-09,6,120G,7,4,5,5,5,2,12,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944971_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20430399_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944971.eval_completed.jsonl
20944964,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430415_e0000,RUNNING,1-01:39:22,2026-09-04T11:36:54,Unknown,ise-cpu-intl-18,6,120G,7,5,5,5,5,2,11,,,,,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944964_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430415_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944964.eval_completed.jsonl
