experiment_id,job_id,job_name,state,elapsed,time_limit,cpus,memory,classified_instances,successes_30m_lower_bound,successes_2h_lower_bound,successes_6h_lower_bound,explicit_instance_timeouts,max_completed_steps,last_horizon_cutoff_summary,source_evaluation_log,source_completion_ledger
MCTS-PW70-CROSS-DOMAIN,20755798,pw70-kmin3-counters-on-1963100312-s1,RUNNING,2-13:28:16,3-00:00:00,6,120G,17,13,13,13,0,10000,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20755798.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20755798.jsonl
MCTS-LEGACY-FO,20559577,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489461_e0003,RUNNING,1-07:58:22,3-00:00:00,6,120G,4,4,4,4,0,24,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559577_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489461_e0003.txt,
MCTS-LEGACY-FO,20559574,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489457_e0030,RUNNING,1-08:59:23,3-00:00:00,6,120G,5,5,5,5,6,122,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559574_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10TCM_src20489457_e0030.txt,
MCTS-PW70-CROSS-DOMAIN,20755796,pw70-kmin3-counters-off-2011206605-s1,RUNNING,1:40:16,3-00:00:00,6,120G,21,21,21,21,0,231,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/%x_20755796.out,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20755796.jsonl
MCTS-LEGACY-FO,20559575,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077,RUNNING,2:10:07,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559575_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10TCM_src20489458_e0077.txt,
MCTS-LEGACY-FO,20559573,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489456_e0044,RUNNING,3:53:59,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559573_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489456_e0044.txt,
MCTS-LEGACY-FO,20559578,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489462_e0032,RUNNING,6:15:36,3-00:00:00,6,120G,0,0,0,0,3,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559578_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10TCM_src20489462_e0032.txt,
MCTS-LEGACY-FO,20559580,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489464_e0005,RUNNING,6:15:36,3-00:00:00,6,120G,0,0,0,0,3,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559580_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10TCM_src20489464_e0005.txt,
MCTS-LEGACY-FO,20559566,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489450_e0098,RUNNING,1:24:40,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559566_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489450_e0098.txt,
MCTS-LEGACY-FO,20559572,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489455_e0053,RUNNING,5:41:12,3-00:00:00,6,120G,0,0,0,0,0,0,,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559572_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489455_e0053.txt,
