role,seed,job_id,constant_job_id,stage2_epoch,cumulative_epoch,validation_successes,validation_total,policy_anchor_kl_loss,policy_anchor_kl_post_update,policy_anchor_kl_coeff_before,policy_anchor_kl_coeff_after,policy_anchor_kl_controller_adjustments,policy_anchor_kl_target,path
stable_control,1963100312,21144389,20553944,49,52,30.0,30.0,0.04127681708584229,0.017196841010202964,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,50,53,30.0,30.0,0.04151033175488313,0.017568728125964602,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,51,54,30.0,30.0,0.041610068952043854,0.017936472734436392,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,52,55,30.0,30.0,0.041239762865006926,0.01803107823555668,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,53,56,30.0,30.0,0.04105960074812174,0.018025242801134784,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,54,57,30.0,30.0,0.04207449269791444,0.018847065418958663,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,55,58,30.0,30.0,0.04271649805208047,0.018908387112120787,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,56,59,30.0,30.0,0.04255894093463818,0.01940266670038303,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,57,60,30.0,30.0,0.04287606744716565,0.019420243318503103,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,58,61,30.0,30.0,0.04132998952021202,0.01866226252168417,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,59,62,30.0,30.0,0.04135472656538089,0.019039302055413525,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,60,63,30.0,30.0,0.04240488037467003,0.01963219673683246,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,61,64,30.0,30.0,0.042646459427972634,0.01952894936936597,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,62,65,30.0,30.0,0.0405401607354482,0.018099654947097102,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,63,66,30.0,30.0,0.04113547410815954,0.018972627290834983,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,64,67,30.0,30.0,0.04087574562678734,0.018315472655619183,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,65,68,30.0,30.0,0.04115898466358582,0.018219199714561304,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,66,69,30.0,30.0,0.041074851403633754,0.018589996717249355,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,67,70,30.0,30.0,0.0417785515387853,0.019253987912088634,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,68,71,30.0,30.0,0.04139341618865729,0.018968885314340392,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,69,72,30.0,30.0,0.042679313570261,0.020189615866790214,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,70,73,30.0,30.0,0.04080735283593337,0.019235742449139556,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,71,74,30.0,30.0,0.04154943339526653,0.01974328188225627,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,72,75,30.0,30.0,0.04008380038042863,0.01870419674863418,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
stable_control,1963100312,21144389,20553944,73,76,30.0,30.0,0.04052521449824174,0.019094462040811777,3.0,3.0,0.0,0.1143,/home/hersco/training_new_domains/2026-09-08/anchor_kl_control/21144389_anchor-kl-tpp-off-control-adaptive-retry1.txt
