manifest_id,experiment_id,domain,value_head,seed,anchor,source_training_job_id,source_epoch,source_checkpoint,status,teacher
preserve3-term-tpp-on-1239739722-a10,PRESERVE-3-TERM,tpp,on,1239739722,10,20523013,67,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:45:38.484370/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911839-7d9a779/snapshots/snapshot_67_1.000",ready,hadd-astar
preserve3-term-tpp-on-1472491096-a10,PRESERVE-3-TERM,tpp,on,1472491096,10,20523017,52,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:45:04.741685/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911839-43e0a7a/snapshots/snapshot_52_1.000",ready,hadd-astar
preserve3-term-tpp-on-1510771779-a10,PRESERVE-3-TERM,tpp,on,1510771779,10,20523026,62,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:54:58.757497/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911849-17cc32a/snapshots/snapshot_62_1.000",ready,hadd-astar
preserve3-term-tpp-on-1963100312-a10,PRESERVE-3-TERM,tpp,on,1963100312,10,20523005,62,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:18:00.936166/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911812-2fc32f3/snapshots/snapshot_62_1.000",ready,hadd-astar
preserve3-term-tpp-on-1972442430-a10,PRESERVE-3-TERM,tpp,on,1972442430,10,20523032,58,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T05:11:34.514537/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911865-72aea46/snapshots/snapshot_58_1.000",ready,hadd-astar
preserve3-term-tpp-on-2011206605-a10,PRESERVE-3-TERM,tpp,on,2011206605,10,20523008,51,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:32:31.342171/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911826-067843/snapshots/snapshot_51_1.000",ready,hadd-astar
preserve3-term-tpp-on-2082152039-a10,PRESERVE-3-TERM,tpp,on,2082152039,10,20523023,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp-2026-08-25T04:52:43.460075/P[domain,pfile1,pfile2,pfile4]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04911846-faf7d6/snapshots/snapshot_59_1.000",ready,hadd-astar
preserve3-term-zenotravel-off-534933607-a30,PRESERVE-3-TERM,zenotravel,off,534933607,30,20523092,58,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:01:19.601151/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912155-3c74d66/snapshots/snapshot_58_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-923500475-a30,PRESERVE-3-TERM,zenotravel,off,923500475,30,20523095,82,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T10:11:59.572840/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912166-5194f74/snapshots/snapshot_82_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-1073581256-a30,PRESERVE-3-TERM,zenotravel,off,1073581256,30,20523089,164,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:48:56.884403/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912143-1247c09/snapshots/snapshot_164_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-1239739722-a30,PRESERVE-3-TERM,zenotravel,off,1239739722,30,20523090,84,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:48:56.884404/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912143-7d9a779/snapshots/snapshot_84_0.500",ready,hadd-gbfs
preserve3-term-zenotravel-off-1472491096-a30,PRESERVE-3-TERM,zenotravel,off,1472491096,30,20523091,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel-2026-08-25T09:51:14.154764/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04912145-43e0a7a/snapshots/snapshot_55_0.500",ready,hadd-gbfs
