domain,value_head,seed,training_job_id,training_log,log_exists,policy_gradient_l2,weighted_anchor_gradient_l2,policy_anchor_gradient_cosine,decomposed_anchor_gradient_available,classification
drone,on,534933607,20451797,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451797_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10T_src20401202_e0161.txt,true,false,false,false,false,decomposition_unavailable
drone,on,923500475,20451798,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20451798_Re-Tr_drone_drone_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10T_src20401205_e0103.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,1073581256,20430389,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430389_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10T_src20401230_e0022.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,1239739722,20430390,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430390_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10T_src20401231_e0031.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,1472491096,20430391,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430391_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10T_src20401232_e0016.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,1510771779,20430394,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430394_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10T_src20401235_e0066.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,1963100312,20430387,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430387_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10T_src20401228_e0008.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,1972442430,20430396,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430396_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10T_src20401237_e0028.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,2011206605,20430388,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430388_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10T_src20401229_e0046.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,2082152039,20430393,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430393_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10T_src20401234_e0069.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,534933607,20430392,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430392_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10T_src20401233_e0057.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,off,923500475,20430395,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430395_Re-Tr_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10T_src20401236_e0014.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,1073581256,20430379,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430379_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10T_src20401220_e0106.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,1239739722,20430380,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430380_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10T_src20401221_e0092.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,1472491096,20430381,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430381_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10T_src20401222_e0066.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,1510771779,20430384,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430384_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10T_src20401225_e0068.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,1963100312,20430377,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430377_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10T_src20401218_e0011.txt,true,false,false,false,false,decomposition_unavailable
fo_counters,on,1972442430,20430386,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_training/20430386_Re-Tr_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10T_src20401227_e0042.txt,true,false,false,false,false,decomposition_unavailable
